Area,City,Location,LocationFlag,Month,Region,Year
,ABBOTSFORD,GEORGE FERGUSON WAY & TIMS ST,Intersection,MARCH,Lower Mainland,2010
,ABBOTSFORD,GLADWIN RD & SOUTH FRASER WAY,Intersection,NOVEMBER,Lower Mainland,2010
,ABBOTSFORD,GLADWIN RD & MACLURE RD,Intersection,NOVEMBER,Lower Mainland,2010
,ABBOTSFORD,BLUE JAY ST & BLUERIDGE DR,Intersection,NOVEMBER,Lower Mainland,2010
,ABBOTSFORD,HORIZON ST & MARSHALL RD,Intersection,OCTOBER,Lower Mainland,2010
,ABBOTSFORD,MACLURE RD & TOWNLINE RD,Intersection,OCTOBER,Lower Mainland,2010
,ABBOTSFORD,CLEARBROOK RD & KING RD,Intersection,SEPTEMBER,Lower Mainland,2010
,ABBOTSFORD,DOWNES RD & MT LEHMAN RD,Intersection,SEPTEMBER,Lower Mainland,2010
,ABBOTSFORD,CLEARBROOK RD & KING RD,Intersection,AUGUST,Lower Mainland,2011
,ABBOTSFORD,ALPINE AVE & BEAVER ST,Intersection,DECEMBER,Lower Mainland,2011
,ABBOTSFORD,EMERSON ST & SOUTH FRASER WAY & UNSIGNED,Intersection,DECEMBER,Lower Mainland,2011
,ABBOTSFORD,CLEARBROOK RD & OLD YALE RD,Intersection,JANUARY,Lower Mainland,2011
,ABBOTSFORD,VINEWOOD ST & WARE ST,Intersection,JULY,Lower Mainland,2011
,ABBOTSFORD,GLADWIN RD & SOUTH FRASER WAY,Intersection,JULY,Lower Mainland,2011
,ABBOTSFORD,CLEARBROOK RD & CLEARBROOK RD OFFRAMP & CLEARBROOK RD ONRAMP & TRANS-CANADA HWY,Intersection,JUNE,Lower Mainland,2011
,ABBOTSFORD,MACLURE RD & TRETHEWEY ST,Intersection,JUNE,Lower Mainland,2011
,ABBOTSFORD,GEORGE FERGUSON WAY & GLADYS AVE,Intersection,MARCH,Lower Mainland,2011
,ABBOTSFORD,SOUTH FRASER WAY & TRETHEWEY ST,Intersection,MARCH,Lower Mainland,2011
,ABBOTSFORD,MARSHALL RD & MCCALLUM RD,Intersection,MAY,Lower Mainland,2011
,ABBOTSFORD,GEORGE FERGUSON WAY & W BOURQUIN CRES,Intersection,MAY,Lower Mainland,2011
,ABBOTSFORD,GEORGE FERGUSON WAY & GLADWIN RD,Intersection,MAY,Lower Mainland,2011
,ABBOTSFORD,HARRIS RD & RIVERSIDE ST,Intersection,MAY,Lower Mainland,2011
,ABBOTSFORD,GARDEN ST & SOUTH FRASER WAY,Intersection,NOVEMBER,Lower Mainland,2011
,ABBOTSFORD,MCKINLEY DR & WATERTON CRES,Intersection,NOVEMBER,Lower Mainland,2011
,ABBOTSFORD,CLEARBROOK RD & OAK AVE,Intersection,OCTOBER,Lower Mainland,2011
,ABBOTSFORD,CYRIL ST & GEORGE FERGUSON WAY,Intersection,OCTOBER,Lower Mainland,2011
,ABBOTSFORD,FULLER ST & GEORGE FERGUSON WAY,Intersection,OCTOBER,Lower Mainland,2011
,ABBOTSFORD,ABBOTSFORD WAY & MARSHALL RD,Intersection,SEPTEMBER,Lower Mainland,2011
,ABBOTSFORD,SIMON AVE & TRETHEWEY ST & VETERANS WAY,Intersection,SEPTEMBER,Lower Mainland,2011
,ABBOTSFORD,CLEARBROOK RD & MACLURE RD,Intersection,SEPTEMBER,Lower Mainland,2011
,ABBOTSFORD,CHARLOTTE AVE & CLEARBROOK RD,Intersection,APRIL,Lower Mainland,2012
,ABBOTSFORD,E BOURQUIN CRES & SOUTH FRASER WAY,Intersection,DECEMBER,Lower Mainland,2012
,ABBOTSFORD,SOUTH FRASER WAY & TRETHEWEY ST,Intersection,DECEMBER,Lower Mainland,2012
,ABBOTSFORD,LYNN AVE & WESTBURY AVE,Intersection,FEBRUARY,Lower Mainland,2012
,ABBOTSFORD,JACKSON ST & MARSHALL RD,Intersection,JULY,Lower Mainland,2012
,ABBOTSFORD,OLD YALE RD & PARKVIEW ST & SOUTH FRASER WAY,Intersection,JULY,Lower Mainland,2012
,ABBOTSFORD,MARSHALL RD & SUMAS WAY & TURNING LANE,Intersection,JUNE,Lower Mainland,2012
,ABBOTSFORD,LILAC CRES & SUGARPINE ST,Intersection,JUNE,Lower Mainland,2012
,ABBOTSFORD,CLEARBROOK RD & SOUTH FRASER WAY,Intersection,JUNE,Lower Mainland,2012
,ABBOTSFORD,GLADWIN RD & HARRIS RD,Intersection,JUNE,Lower Mainland,2012
,ABBOTSFORD,ESSENDENE AVE & GLADYS AVE,Intersection,MARCH,Lower Mainland,2012
,ABBOTSFORD,CLEARBROOK RD & OLD YALE RD,Intersection,MARCH,Lower Mainland,2012
,ABBOTSFORD,CLEARBROOK RD & CLEARBROOK RD OFFRAMP & CLEARBROOK RD ONRAMP & MARSHALL RD & MARSHALL RD ONRAMP,Intersection,MAY,Lower Mainland,2012
,ABBOTSFORD,GLADWIN RD & MARSHALL RD,Intersection,MAY,Lower Mainland,2012
,ABBOTSFORD,JOYCE AVE & SHERWOOD CRES,Intersection,MAY,Lower Mainland,2012
,ABBOTSFORD,HILLCREST AVE & LILAC CRES & TRETHEWEY ST,Intersection,MAY,Lower Mainland,2012
,ABBOTSFORD,BALFOUR DR & CLEARBROOK RD,Intersection,MAY,Lower Mainland,2012
,ABBOTSFORD,KING RD & KING RD ONRAMP & MCCALLUM RD & MCCALLUM RD OFFRAMP & MCCALLUM RD ONRAMP & TRANS-CANADA HWY,Intersection,NOVEMBER,Lower Mainland,2012
,ABBOTSFORD,SOUTH PARALLEL RD & WHATCOM RD,Intersection,NOVEMBER,Lower Mainland,2012
,ABBOTSFORD,E BOURQUIN CRES & SOUTH FRASER WAY,Intersection,NOVEMBER,Lower Mainland,2012
,ABBOTSFORD,BLUE JAY ST & FRASER HWY & LIVINGSTONE AVE & MACLURE RD,Intersection,NOVEMBER,Lower Mainland,2012
,ABBOTSFORD,CLEARBROOK RD & SOUTH FRASER WAY,Intersection,SEPTEMBER,Lower Mainland,2012
,ABBOTSFORD,CATALINA CRES & MARSHALL RD,Intersection,APRIL,Lower Mainland,2013
,ABBOTSFORD,PARKVIEW ST & PEARDONVILLE RD,Intersection,APRIL,Lower Mainland,2013
,ABBOTSFORD,COUNTESS ST & PEARDONVILLE RD,Intersection,AUGUST,Lower Mainland,2013
,ABBOTSFORD,FRASER HWY & MT LEHMAN RD & TURNING LANE,Intersection,AUGUST,Lower Mainland,2013
,ABBOTSFORD,CROSSLEY DR & MACLURE RD,Intersection,DECEMBER,Lower Mainland,2013
,ABBOTSFORD,COUNTESS ST & SOUTH FRASER WAY,Intersection,JUNE,Lower Mainland,2013
,ABBOTSFORD,MARSHALL RD,Intersection,JUNE,Lower Mainland,2013
,ABBOTSFORD,E BOURQUIN CRES & SOUTH FRASER WAY,Intersection,JUNE,Lower Mainland,2013
,ABBOTSFORD,SOUTH FRASER WAY & WARE ST,Intersection,JUNE,Lower Mainland,2013
,ABBOTSFORD,MARSHALL RD & MCCALLUM RD,Intersection,MAY,Lower Mainland,2013
,ABBOTSFORD,CANNON AVE & MCCALLUM RD & MCDOUGALL AVE,Intersection,MAY,Lower Mainland,2013
,ABBOTSFORD,CLEARBROOK RD & OLD YALE RD,Intersection,MAY,Lower Mainland,2013
,ABBOTSFORD,MACLURE RD & TOWNLINE RD,Intersection,MAY,Lower Mainland,2013
,ABBOTSFORD,BUCKINGHAM DR & MCKEE RD,Intersection,MAY,Lower Mainland,2013
,ABBOTSFORD,VINEWOOD ST & WARE ST,Intersection,OCTOBER,Lower Mainland,2013
,ABBOTSFORD,BEVAN AVE & EMERSON ST,Intersection,OCTOBER,Lower Mainland,2013
,ABBOTSFORD,MAYFAIR AVE & SANDALWOOD CRES,Intersection,SEPTEMBER,Lower Mainland,2013
,ABBOTSFORD,ALTA AVE & WARE ST,Intersection,SEPTEMBER,Lower Mainland,2013
,ABBOTSFORD,CARLSRUE AVE & PRINCESS ST,Intersection,SEPTEMBER,Lower Mainland,2013
,ABBOTSFORD,approx 31632 MARSHALL RD,Road Segment,NOVEMBER,Lower Mainland,2009
,ABBOTSFORD,approx 2216 MCCALLUM RD,Road Segment,OCTOBER,Lower Mainland,2010
,ABBOTSFORD,approx 32890 HARRIS RD,Road Segment,OCTOBER,Lower Mainland,2010
,ABBOTSFORD,approx 31952 SOUTH FRASER WAY,Road Segment,SEPTEMBER,Lower Mainland,2010
,ABBOTSFORD,approx 32625 ROSSLAND PL,Road Segment,FEBRUARY,Lower Mainland,2011
,ABBOTSFORD,approx 34600 BLK OLD YALE RD,Road Segment,JANUARY,Lower Mainland,2011
,ABBOTSFORD,approx 34000 BLK HALLERT RD,Road Segment,JULY,Lower Mainland,2011
,ABBOTSFORD,approx 32839 DOWNES RD,Road Segment,JUNE,Lower Mainland,2012
,ABBOTSFORD,approx 33960 OLD YALE RD,Road Segment,MARCH,Lower Mainland,2012
,ABBOTSFORD,approx 3070 TOWNLINE RD,Road Segment,MAY,Lower Mainland,2012
,ABBOTSFORD,approx 3131 TOWNE RD,Road Segment,JANUARY,Lower Mainland,2013
,ABBOTSFORD,approx 32733 SOUTH FRASER WAY,Road Segment,JULY,Lower Mainland,2013
,AGASSIZ,GREEN RD & LOUGHEED HWY,Intersection,AUGUST,Lower Mainland,2013
,BLACK CREEK,ISLAND HWY N & MIRACLE BEACH DR & TURNING LANE,Intersection,OCTOBER,Vancouver Island,2012
,BLUE RIVER,1ST AVE & MAIN ST & ACCESS ROAD,Intersection,JUNE,North Central,2013
,BLUEBERRY CREEK,100TH ST & COLUMBIA AVE & HWY 22 & TROWELEX RD,Intersection,JULY,Southern Interior,2009
Metro Vancouver,BOWEN ISLAND,ADAMS RD & COWAN RD & GRAFTON RD,Intersection,JULY,Lower Mainland,2012
Metro Vancouver,BURNABY,BOUNDARY RD & E 49TH AVE & IMPERIAL ST,Intersection,APRIL,Lower Mainland,2009
Metro Vancouver,BURNABY,GILPIN CRES & GILPIN ST & PATTERSON AVE,Intersection,APRIL,Lower Mainland,2009
Metro Vancouver,BURNABY,UNION ST & WILLINGDON AVE,Intersection,APRIL,Lower Mainland,2009
Metro Vancouver,BURNABY,BYRNE RD & MARINE DR & SOUTHRIDGE DR & TURNING LANE,Intersection,AUGUST,Lower Mainland,2009
Metro Vancouver,BURNABY,CANADA WAY & SMITH AVE,Intersection,AUGUST,Lower Mainland,2009
Metro Vancouver,BURNABY,DAWSON ST & GILMORE AVE & HENNING DR,Intersection,AUGUST,Lower Mainland,2009
Metro Vancouver,BURNABY,FRANCES ST & GAMMA AVE,Intersection,AUGUST,Lower Mainland,2009
Metro Vancouver,BURNABY,BOUNDARY RD & GRAVELEY ST,Intersection,FEBRUARY,Lower Mainland,2009
Metro Vancouver,BURNABY,CANADA WAY & WAYBURNE DR,Intersection,JULY,Lower Mainland,2009
Metro Vancouver,BURNABY,IMPERIAL ST & KINGSWAY & RUSSELL AVE,Intersection,JUNE,Lower Mainland,2009
Metro Vancouver,BURNABY,GRANGE ST & KINGSWAY & PATTERSON AVE,Intersection,JUNE,Lower Mainland,2009
Metro Vancouver,BURNABY,CANADA WAY & GILMORE AVE,Intersection,JUNE,Lower Mainland,2009
Metro Vancouver,BURNABY,DOMINION ST & DOUGLAS RD & GODWIN AVE,Intersection,JUNE,Lower Mainland,2009
Metro Vancouver,BURNABY,BRIDLEWOOD CRT & DUTHIE AVE,Intersection,JUNE,Lower Mainland,2009
Metro Vancouver,BURNABY,HASTINGS ST & MADISON AVE,Intersection,JUNE,Lower Mainland,2009
Metro Vancouver,BURNABY,DUTHIE AVE & HASTINGS ST,Intersection,MARCH,Lower Mainland,2009
Metro Vancouver,BURNABY,DEER LAKE PKY & WAYBURNE DR,Intersection,MAY,Lower Mainland,2009
Metro Vancouver,BURNABY,CARLETON AVE & HASTINGS ST,Intersection,MAY,Lower Mainland,2009
Metro Vancouver,BURNABY,10TH AVE & CANADA WAY & EIGHTH ST & TENTH AVE,Intersection,NOVEMBER,Lower Mainland,2009
Metro Vancouver,BURNABY,CENTRAL BLVD & MCKAY AVE,Intersection,NOVEMBER,Lower Mainland,2009
Metro Vancouver,BURNABY,2ND AVE & GILMORE AVE,Intersection,NOVEMBER,Lower Mainland,2009
Metro Vancouver,BURNABY,GEORGIA ST & HOLDOM AVE,Intersection,NOVEMBER,Lower Mainland,2009
Metro Vancouver,BURNABY,16TH ST & EDMONDS ST,Intersection,OCTOBER,Lower Mainland,2009
Metro Vancouver,BURNABY,IMPERIAL ST & JUBILEE AVE,Intersection,OCTOBER,Lower Mainland,2009
Metro Vancouver,BURNABY,BOUNDARY RD & GRAVELEY ST,Intersection,OCTOBER,Lower Mainland,2009
Metro Vancouver,BURNABY,KINGSWAY & SUSSEX AVE,Intersection,SEPTEMBER,Lower Mainland,2009
Metro Vancouver,BURNABY,OAKDALE RD & OAKMOUNT CRES,Intersection,SEPTEMBER,Lower Mainland,2009
Metro Vancouver,BURNABY,16TH AVE & CUMBERLAND ST,Intersection,SEPTEMBER,Lower Mainland,2009
Metro Vancouver,BURNABY,BRIGHTON AVE & LOUGHEED HWY & PRODUCTION WAY,Intersection,SEPTEMBER,Lower Mainland,2009
Metro Vancouver,BURNABY,CANADA WAY & SUMNER AVE,Intersection,SEPTEMBER,Lower Mainland,2009
Metro Vancouver,BURNABY,HALIFAX ST & KENSINGTON AVE,Intersection,APRIL,Lower Mainland,2010
Metro Vancouver,BURNABY,IMPERIAL ST & ROYAL OAK AVE,Intersection,AUGUST,Lower Mainland,2010
Metro Vancouver,BURNABY,KINGSWAY & ROYAL OAK AVE,Intersection,AUGUST,Lower Mainland,2010
Metro Vancouver,BURNABY,BOUNDARY RD & E PENDER ST & PENDER ST,Intersection,AUGUST,Lower Mainland,2010
Metro Vancouver,BURNABY,EDINBURGH ST & N BOUNDARY RD,Intersection,DECEMBER,Lower Mainland,2010
Metro Vancouver,BURNABY,BRITTON ST & EDMONDS ST & KINGSWAY & TURNING LANE,Intersection,FEBRUARY,Lower Mainland,2010
Metro Vancouver,BURNABY,IMPERIAL ST & WALKER AVE,Intersection,FEBRUARY,Lower Mainland,2010
Metro Vancouver,BURNABY,KEMP ST & WILLINGDON AVE,Intersection,FEBRUARY,Lower Mainland,2010
Metro Vancouver,BURNABY,KENSINGTON AVE & KENSINGTON AVE OFFRAMP & KENSINGTON AVE ONRAMP & TRANS-CANADA HWY & TURNING LANE,Intersection,JULY,Lower Mainland,2010
Metro Vancouver,BURNABY,BOUNDARY RD & HENNING DR,Intersection,JULY,Lower Mainland,2010
Metro Vancouver,BURNABY,DOUGLAS RD & INGLETON AVE,Intersection,JULY,Lower Mainland,2010
Metro Vancouver,BURNABY,NELSON AVE & RUMBLE ST,Intersection,JUNE,Lower Mainland,2010
Metro Vancouver,BURNABY,COLBORNE AVE & KINGSWAY,Intersection,JUNE,Lower Mainland,2010
Metro Vancouver,BURNABY,COLBORNE AVE & IMPERIAL ST,Intersection,JUNE,Lower Mainland,2010
Metro Vancouver,BURNABY,GILMORE AVE & GRANDVIEW HWY,Intersection,JUNE,Lower Mainland,2010
Metro Vancouver,BURNABY,BROADWAY & GAGLARDI WAY,Intersection,JUNE,Lower Mainland,2010
Metro Vancouver,BURNABY,DAWSON ST & WILLINGDON AVE,Intersection,JUNE,Lower Mainland,2010
Metro Vancouver,BURNABY,BLAINE AVE & KITCHENER ST,Intersection,JUNE,Lower Mainland,2010
Metro Vancouver,BURNABY,HOWARD AVE & PARKER ST,Intersection,JUNE,Lower Mainland,2010
Metro Vancouver,BURNABY,BAINBRIDGE AVE & LOUGHEED HWY,Intersection,MARCH,Lower Mainland,2010
Metro Vancouver,BURNABY,BOUNDARY RD & E HASTINGS ST & HASTINGS ST,Intersection,MARCH,Lower Mainland,2010
Metro Vancouver,BURNABY,HASTINGS ST & MADISON AVE,Intersection,MAY,Lower Mainland,2010
Metro Vancouver,BURNABY,BOUNDARY RD & MOSCROP ST,Intersection,OCTOBER,Lower Mainland,2010
Metro Vancouver,BURNABY,BRIGHTON AVE & LOUGHEED HWY & PRODUCTION WAY,Intersection,OCTOBER,Lower Mainland,2010
Metro Vancouver,BURNABY,BOUNDARY RD & GRANDVIEW HWY,Intersection,OCTOBER,Lower Mainland,2010
Metro Vancouver,BURNABY,DOUGLAS RD & STILL CREEK AVE,Intersection,OCTOBER,Lower Mainland,2010
Metro Vancouver,BURNABY,BOUNDARY RD & LOUGHEED HWY,Intersection,OCTOBER,Lower Mainland,2010
Metro Vancouver,BURNABY,GILMORE AVE & PARKER ST,Intersection,OCTOBER,Lower Mainland,2010
Metro Vancouver,BURNABY,GRIFFITHS AVE & IMPERIAL ST,Intersection,SEPTEMBER,Lower Mainland,2010
Metro Vancouver,BURNABY,GRANGE ST & KINGSWAY & PATTERSON AVE,Intersection,SEPTEMBER,Lower Mainland,2010
Metro Vancouver,BURNABY,GILMORE AVE & MANOR ST,Intersection,SEPTEMBER,Lower Mainland,2010
Metro Vancouver,BURNABY,AUSTIN AVE & AUSTIN RD & NORTH RD,Intersection,APRIL,Lower Mainland,2011
Metro Vancouver,BURNABY,KINGSWAY & MCKAY AVE,Intersection,AUGUST,Lower Mainland,2011
Metro Vancouver,BURNABY,INMAN AVE & KINGSWAY,Intersection,AUGUST,Lower Mainland,2011
Metro Vancouver,BURNABY,DOVER ST & OAKLAND ST & ROYAL OAK AVE,Intersection,DECEMBER,Lower Mainland,2011
